height,opt_length,opt_width,volume
150,1800,2000,0.54
150,1850,1950,0.541125
150,1900,1850,0.52725
150,1950,1800,0.5265
200,1450,2400,0.696
200,1500,2300,0.69
200,1550,2200,0.682
200,1600,2100,0.672
200,1650,2000,0.66
200,1700,1900,0.646
200,1750,1800,0.63
200,1800,1750,0.63
200,1850,1650,0.6105
200,1900,1600,0.608
200,1950,1550,0.6045
200,2000,1450,0.58
200,2050,1400,0.574
200,2100,1350,0.567
200,2150,1300,0.559
200,2200,1250,0.55
200,2250,1200,0.54
200,2300,1150,0.529
250,1150,3000,0.8625
250,1200,2850,0.855
250,1250,2700,0.84375
250,1300,2550,0.82875
250,1350,2400,0.81
250,1400,2250,0.7875
250,1450,2150,0.779375
250,1500,2050,0.76875
250,1550,1950,0.755625
250,1600,1850,0.74
250,1650,1750,0.721875
250,1700,1650,0.70125
250,1750,1550,0.678125
250,1800,1500,0.675
250,1850,1400,0.6475
250,1900,1350,0.64125
250,1950,1300,0.63375
250,2000,1250,0.625
250,2050,1150,0.589375
250,2100,1100,0.5775
250,2150,1050,0.564375
250,2200,1000,0.55
250,2250,950,0.534375
250,2300,900,0.5175
250,2350,850,0.499375
250,2400,800,0.48
300,1000,3400,1.02
300,1050,3150,0.99225
300,1100,2950,0.9735
300,1150,2750,0.94875
300,1200,2600,0.936
300,1250,2450,0.91875
300,1300,2300,0.897
300,1350,2150,0.87075
300,1400,2050,0.861
300,1450,1900,0.8265
300,1500,1800,0.81
300,1550,1700,0.7905
300,1600,1600,0.768
300,1650,1500,0.7425
300,1700,1450,0.7395
300,1750,1350,0.70875
300,1800,1300,0.702
300,1850,1200,0.666
300,1900,1150,0.6555
300,1950,1050,0.61425
300,2000,1000,0.6
300,2050,950,0.58425
300,2100,900,0.567
300,2150,850,0.54825
300,2200,800,0.528
300,2250,750,0.50625
300,2300,700,0.483
300,2350,650,0.45825
350,850,4000,1.19
350,900,3650,1.14975
350,950,3400,1.1305
350,1000,3150,1.1025
350,1050,2950,1.084125
350,1100,2750,1.05875
350,1150,2550,1.026375
350,1200,2400,1.008
350,1250,2200,0.9625
350,1300,2100,0.9555
350,1350,1950,0.921375
350,1400,1800,0.882
350,1450,1700,0.86275
350,1500,1600,0.84
350,1550,1500,0.81375
350,1600,1400,0.784
350,1650,1300,0.75075
350,1700,1250,0.74375
350,1750,1150,0.704375
350,1800,1100,0.693
350,1850,1000,0.6475
350,1900,950,0.63175
350,1950,900,0.61425
350,2000,800,0.56
350,2050,750,0.538125
350,2200,700,0.539
350,2500,650,0.56875
350,2850,600,0.5985
350,3250,550,0.625625
400,750,4500,1.35
400,800,4100,1.312
400,850,3750,1.275
400,900,3450,1.242
400,950,3200,1.216
400,1000,2950,1.18
400,1050,2750,1.155
400,1100,2550,1.122
400,1150,2350,1.081
400,1200,2200,1.056
400,1250,2050,1.025
400,1300,1900,0.988
400,1350,1750,0.945
400,1400,1650,0.924
400,1450,1500,0.87
400,1500,1400,0.84
400,1550,1300,0.806
400,1600,1250,0.8
400,1650,1150,0.759
400,1700,1050,0.714
400,1750,1000,0.7
400,1800,950,0.684
400,1850,850,0.629
400,1900,800,0.608
400,2100,750,0.63
400,2350,700,0.658
400,2650,650,0.689
400,2950,600,0.708
400,3350,550,0.737
400,3750,500,0.75
450,700,4700,1.4805
450,750,4250,1.434375
450,800,3900,1.404
450,850,3550,1.357875
450,900,3250,1.31625
450,950,3000,1.2825
450,1000,2750,1.2375
450,1050,2550,1.204875
450,1100,2350,1.16325
450,1150,2150,1.112625
450,1200,2000,1.08
450,1250,1850,1.040625
450,1300,1700,0.9945
450,1350,1600,0.972
450,1400,1450,0.9135
450,1450,1350,0.880875
450,1500,1250,0.84375
450,1550,1150,0.802125
450,1600,1100,0.792
450,1650,1000,0.7425
450,1700,900,0.6885
450,1800,850,0.6885
450,2000,800,0.72
450,2200,750,0.7425
450,2500,700,0.7875
450,2750,650,0.804375
450,3100,600,0.837
450,3450,550,0.853875
450,3850,500,0.86625
500,700,4500,1.575
500,750,4050,1.51875
500,800,3700,1.48
500,850,3400,1.445
500,900,3100,1.395
500,950,2850,1.35375
500,1000,2600,1.3
500,1050,2400,1.26
500,1100,2200,1.21
500,1150,2000,1.15
500,1200,1850,1.11
500,1250,1700,1.0625
500,1300,1550,1.0075
500,1350,1450,0.97875
500,1400,1300,0.91
500,1450,1200,0.87
500,1500,1100,0.825
500,1550,1000,0.775
500,1600,950,0.76
500,1700,900,0.765
500,1900,850,0.8075
500,2100,800,0.84
500,2350,750,0.88125
500,2600,700,0.91
500,2850,650,0.92625
500,3200,600,0.96
500,3550,550,0.97625
500,4000,500,1
500,4500,450,1.0125
550,700,4300,1.6555
550,750,3900,1.60875
550,800,3550,1.562
550,850,3200,1.496
