vl_external,opt_length,opt_width,volume
-60,1400,5500,3.08
-60,1450,5250,3.045
-60,1500,5000,3
-60,1550,4800,2.976
-60,1600,4600,2.944
-60,1650,4400,2.904
-60,1700,4200,2.856
-60,1750,4050,2.835
-60,1800,3900,2.808
-60,1850,3750,2.775
-60,1900,3600,2.736
-60,1950,3450,2.691
-60,2000,3350,2.68
-60,2050,3200,2.624
-60,2100,3100,2.604
-60,2150,3000,2.58
-60,2200,2900,2.552
-60,2250,2800,2.52
-60,2300,2700,2.484
-60,2350,2600,2.444
-60,2400,2500,2.4
-60,2450,2450,2.401
-60,2500,2350,2.35
-60,2550,2250,2.295
-60,2600,2200,2.288
-60,2650,2100,2.226
-60,2700,2050,2.214
-60,2750,2000,2.2
-60,2800,1900,2.128
-60,2850,1850,2.109
-60,2900,1800,2.088
-60,2950,1750,2.065
-60,3000,1700,2.04
-60,3050,1650,2.013
-60,3100,1550,1.922
-60,3150,1500,1.89
-60,3200,1450,1.856
-60,3250,1400,1.82
-60,3350,1350,1.809
-60,3400,1300,1.768
-60,3450,1250,1.725
-60,3500,1200,1.68
-60,3550,1150,1.633
-60,3650,1100,1.606
-60,3700,1050,1.554
-60,3850,1000,1.54
-60,4050,950,1.539
-60,4250,900,1.53
-50,1300,5600,2.912
-50,1350,5350,2.889
-50,1400,5100,2.856
-50,1450,4850,2.813
-50,1500,4650,2.79
-50,1550,4450,2.759
-50,1600,4250,2.72
-50,1650,4050,2.673
-50,1700,3900,2.652
-50,1750,3750,2.625
-50,1800,3600,2.592
-50,1850,3450,2.553
-50,1900,3300,2.508
-50,1950,3200,2.496
-50,2000,3050,2.44
-50,2050,2950,2.419
-50,2100,2850,2.394
-50,2150,2750,2.365
-50,2200,2650,2.332
-50,2250,2550,2.295
-50,2300,2450,2.254
-50,2350,2350,2.209
-50,2400,2300,2.208
-50,2450,2200,2.156
-50,2500,2150,2.15
-50,2550,2050,2.091
-50,2600,2000,2.08
-50,2650,1900,2.014
-50,2700,1850,1.998
-50,2750,1800,1.98
-50,2800,1700,1.904
-50,2850,1650,1.881
-50,2900,1600,1.856
-50,2950,1550,1.829
-50,3000,1500,1.8
-50,3050,1450,1.769
-50,3100,1400,1.736
-50,3150,1350,1.701
-50,3200,1300,1.664
-50,3250,1250,1.625
-50,3300,1200,1.584
-50,3350,1150,1.541
-50,3450,1100,1.518
-50,3500,1050,1.47
-50,3550,1000,1.42
-50,3700,950,1.406
-50,3900,900,1.404
-50,4100,850,1.394
-50,4300,800,1.376
-50,4550,750,1.365
-40,1150,6100,2.806
-40,1200,5750,2.76
-40,1250,5450,2.725
-40,1300,5200,2.704
-40,1350,4950,2.673
-40,1400,4700,2.632
-40,1450,4500,2.61
-40,1500,4300,2.58
-40,1550,4100,2.542
-40,1600,3900,2.496
-40,1650,3750,2.475
-40,1700,3600,2.448
-40,1750,3450,2.415
-40,1800,3300,2.376
-40,1850,3150,2.331
-40,1900,3050,2.318
-40,1950,2900,2.262
-40,2000,2800,2.24
-40,2050,2700,2.214
-40,2100,2600,2.184
-40,2150,2500,2.15
-40,2200,2400,2.112
-40,2250,2300,2.07
-40,2300,2200,2.024
-40,2350,2150,2.021
-40,2400,2050,1.968
-40,2450,2000,1.96
-40,2500,1900,1.9
-40,2550,1850,1.887
-40,2600,1800,1.872
-40,2650,1700,1.802
-40,2700,1650,1.782
-40,2750,1600,1.76
-40,2800,1550,1.736
-40,2850,1500,1.71
-40,2900,1400,1.624
-40,2950,1350,1.593
-40,3000,1300,1.56
-40,3050,1250,1.525
-40,3150,1200,1.512
-40,3200,1150,1.472
-40,3250,1100,1.43
-40,3300,1050,1.386
-40,3350,1000,1.34
-40,3400,950,1.292
-40,3550,900,1.278
-40,3750,850,1.275
-40,3950,800,1.264
-40,4200,750,1.26
-40,4450,700,1.246
-40,4750,650,1.235
-30,1000,6700,2.68
-30,1050,6300,2.646
-30,1100,5950,2.618
-30,1150,5600,2.576
-30,1200,5300,2.544
-30,1250,5050,2.525
-30,1300,4800,2.496
-30,1350,4550,2.457
-30,1400,4300,2.408
-30,1450,4100,2.378
-30,1500,3950,2.37
-30,1550,3750,2.325
-30,1600,3600,2.304
-30,1650,3400,2.244
-30,1700,3250,2.21
-30,1750,3150,2.205
-30,1800,3000,2.16
-30,1850,2850,2.109
-30,1900,2750,2.09
-30,1950,2650,2.067
-30,2000,2550,2.04
-30,2050,2450,2.009
-30,2100,2350,1.974
-30,2150,2250,1.935
-30,2200,2150,1.892
-30,2250,2050,1.845
-30,2300,2000,1.84
-30,2350,1900,1.786
-30,2400,1850,1.776
-30,2450,1750,1.715
-30,2500,1700,1.7
-30,2550,1650,1.683
-30,2600,1550,1.612
-30,2650,1500,1.59
-30,2700,1450,1.566
-30,2750,1400,1.54
-30,2800,1350,1.512
-30,2850,1300,1.482
-30,2900,1250,1.45
-30,2950,1200,1.416
-30,3000,1150,1.38
-30,3050,1100,1.342
-30,3100,1050,1.302
-30,3150,1000,1.26
-30,3200,950,1.216
-30,3300,900,1.188
-30,3450,850,1.173
-30,3650,800,1.168
-30,3850,750,1.155
-30,4100,700,1.148
-30,4400,650,1.144
-30,4750,600,1.14
-30,5050,550,1.111
-20,1000,6150,2.46
-20,1050,5800,2.436
-20,1100,5450,2.398
-20,1150,5150,2.369
-20,1200,4850,2.328
-20,1250,4600,2.3
-20,1300,4350,2.262
-20,1350,4150,2.241
-20,1400,3950,2.212
-20,1450,3750,2.175
-20,1500,3550,2.13
-20,1550,3400,2.108
-20,1600,3250,2.08
-20,1650,3100,2.046
-20,1700,2950,2.006
-20,1750,2800,1.96
-20,1800,2700,1.944
-20,1850,2600,1.924
-20,1900,2450,1.862
-20,1950,2350,1.833
-20,2000,2250,1.8
-20,2050,2150,1.763
-20,2100,2100,1.764
-20,2150,2000,1.72
-20,2200,1900,1.672
-20,2250,1850,1.665
-20,2300,1750,1.61
-20,2350,1700,1.598
-20,2400,1600,1.536
-20,2450,1550,1.519
-20,2500,1500,1.5
-20,2550,1400,1.428
-20,2600,1350,1.404
-20,2650,1300,1.378
-20,2700,1250,1.35
-20,2750,1200,1.32
-20,2800,1150,1.288
-20,2850,1100,1.254
-20,2900,1050,1.218
-20,2950,1000,1.18
-20,3000,950,1.14
-20,3050,900,1.098
-20,3150,850,1.071
-20,3300,800,1.056
-20,3550,750,1.065
-20,3800,700,1.064
-20,4100,650,1.066
-20,4400,600,1.056
-20,4750,550,1.045
-20,5150,500,1.03
-20,5550,450,0.999
-10,950,6000,2.28
-10,1000,5650,2.26
-10,1050,5300,2.226
-10,1100,4950,2.178
-10,1150,4700,2.162
-10,1200,4400,2.112
-10,1250,4200,2.1
-10,1300,3950,2.054
-10,1350,3750,2.025
-10,1400,3550,1.988
-10,1450,3400,1.972
-10,1500,3200,1.92
-10,1550,3050,1.891
-10,1600,2900,1.856
-10,1650,2750,1.815
-10,1700,2650,1.802
-10,1750,2500,1.75
-10,1800,2400,1.728
-10,1850,2300,1.702
-10,1900,2200,1.672
-10,1950,2100,1.638
-10,2000,2000,1.6
-10,2050,1900,1.558
-10,2100,1800,1.512
-10,2150,1750,1.505
-10,2200,1650,1.452
-10,2250,1600,1.44
-10,2300,1500,1.38
-10,2350,1450,1.363
-10,2400,1400,1.344
-10,2450,1350,1.323
-10,2500,1250,1.25
-10,2550,1200,1.224
-10,2600,1150,1.196
-10,2650,1100,1.166
-10,2700,1050,1.134
-10,2750,1000,1.1
-10,2800,950,1.064
-10,2850,900,1.026
-10,2900,850,0.986
-10,3050,800,0.976
-10,3250,750,0.975
-10,3500,700,0.98
-10,3750,650,0.975
-10,4100,600,0.984
-10,4450,550,0.979
-10,4850,500,0.97
-10,5300,450,0.954
0,900,5850,2.106
0,950,5450,2.071
0,1000,5100,2.04
0,1050,4800,2.016
0,1100,4500,1.98
0,1150,4200,1.932
0,1200,3950,1.896
0,1250,3750,1.875
0,1300,3550,1.846
0,1350,3350,1.809
